Trace,Type,PCm,gbhr,missrate

GCC,GSHARE,7,2,28.9837
GCC,GSHARE,7,3,29.9846
GCC,GSHARE,7,4,30.7589
GCC,GSHARE,7,5,31.9004
GCC,GSHARE,7,6,33.2203
GCC,GSHARE,7,7,33.8378
GCC,GSHARE,8,2,25.1784
GCC,GSHARE,8,3,25.9566
GCC,GSHARE,8,4,26.5729
GCC,GSHARE,8,5,27.3503
GCC,GSHARE,8,6,27.8238
GCC,GSHARE,8,7,29.5884
GCC,GSHARE,8,8,30.5616
GCC,GSHARE,9,2,20.2474
GCC,GSHARE,9,3,21.6672
GCC,GSHARE,9,4,22.4297
GCC,GSHARE,9,5,23.4153
GCC,GSHARE,9,6,24.1433
GCC,GSHARE,9,7,24.8403
GCC,GSHARE,9,8,26.0793
GCC,GSHARE,9,9,26.79
GCC,GSHARE,10,2,16.3925
GCC,GSHARE,10,3,17.4533
GCC,GSHARE,10,4,17.9925
GCC,GSHARE,10,5,18.1095
GCC,GSHARE,10,6,19.3631
GCC,GSHARE,10,7,20.3986
GCC,GSHARE,10,8,21.101
GCC,GSHARE,10,9,21.9091
GCC,GSHARE,10,10,22.7695
GCC,GSHARE,11,2,13.7148
GCC,GSHARE,11,3,14.2942
GCC,GSHARE,11,4,14.4884
GCC,GSHARE,11,5,14.6681
GCC,GSHARE,11,6,15.1381
GCC,GSHARE,11,7,15.7782
GCC,GSHARE,11,8,16.4683
GCC,GSHARE,11,9,17.2756
GCC,GSHARE,11,10,18.3384
GCC,GSHARE,11,11,18.9336
GCC,GSHARE,12,2,12.1959
GCC,GSHARE,12,3,12.0927
GCC,GSHARE,12,4,12.2338
GCC,GSHARE,12,5,12.5026
GCC,GSHARE,12,6,12.4562
GCC,GSHARE,12,7,12.6976
GCC,GSHARE,12,8,13.0021
GCC,GSHARE,12,9,13.7397
GCC,GSHARE,12,10,14.3261
GCC,GSHARE,12,11,14.8271
GCC,GSHARE,12,12,15.4049
JPEG,GSHARE,7,2,8.07905
JPEG,GSHARE,7,3,8.5264
JPEG,GSHARE,7,4,8.9198
JPEG,GSHARE,7,5,9.3854
JPEG,GSHARE,7,6,9.73675
JPEG,GSHARE,7,7,9.77905
JPEG,GSHARE,8,2,7.7854
JPEG,GSHARE,8,3,9.4526
JPEG,GSHARE,8,4,7.87525
JPEG,GSHARE,8,5,8.3671
JPEG,GSHARE,8,6,8.86685
JPEG,GSHARE,8,7,8.82185
JPEG,GSHARE,8,8,9.2021
JPEG,GSHARE,9,2,7.58095
JPEG,GSHARE,9,3,7.5821
JPEG,GSHARE,9,4,7.67595
JPEG,GSHARE,9,5,7.8784
JPEG,GSHARE,9,6,8.13185
JPEG,GSHARE,9,7,8.1088
JPEG,GSHARE,9,8,8.3029
JPEG,GSHARE,9,9,8.54565
JPEG,GSHARE,10,2,7.4864
JPEG,GSHARE,10,3,7.42635
JPEG,GSHARE,10,4,7.3757
JPEG,GSHARE,10,5,7.4876
JPEG,GSHARE,10,6,7.57565
JPEG,GSHARE,10,7,7.28395
JPEG,GSHARE,10,8,7.45305
JPEG,GSHARE,10,9,7.6997
JPEG,GSHARE,10,10,7.94755
JPEG,GSHARE,11,2,7.44735
JPEG,GSHARE,11,3,7.3851
JPEG,GSHARE,11,4,7.2681
JPEG,GSHARE,11,5,7.33145
JPEG,GSHARE,11,6,7.38195
JPEG,GSHARE,11,7,7.1304
JPEG,GSHARE,11,8,7.1674
JPEG,GSHARE,11,9,7.23705
JPEG,GSHARE,11,10,7.4433
JPEG,GSHARE,11,11,7.6555
JPEG,GSHARE,12,2,7.44175
JPEG,GSHARE,12,3,7.36095
JPEG,GSHARE,12,4,7.25965
JPEG,GSHARE,12,5,7.2393
JPEG,GSHARE,12,6,7.1876
JPEG,GSHARE,12,7,6.8753
JPEG,GSHARE,12,8,6.84465
JPEG,GSHARE,12,9,7.0055
JPEG,GSHARE,12,10,7.18235
JPEG,GSHARE,12,11,7.38375
JPEG,GSHARE,12,12,7.3536
