L1_ASSOC,L1_SIZE,l1_miss_rate,l1_avg_access_time,edp,area
1,2048,0.14774,3.10001,3.74694e+08,0.0142555
1,4096,0.10017,2.16702,1.9558e+08,0.0351692
1,8192,0.067,1.52355,1.14442e+08,0.0551039
1,16384,0.04609,1.13244,7.63713e+07,0.105663
1,32768,0.03768,0.999032,7.34451e+07,0.212668
1,65536,0.03292,0.957346,8.02992e+07,0.328074
1,131072,0.03233,1.01186,1.13617e+08,0.598214
1,262144,0.02584,0.959665,1.34348e+08,1.06626
1,524288,0.02584,1.07165,2.28084e+08,2.05902
1,1048576,0.02584,1.20427,3.54359e+08,3.74791
2,2048,0.10714,2.32477,2.4009e+08,0.020267
2,4096,0.07528,1.69519,1.37779e+08,0.026666
2,8192,0.04734,1.15935,8.02428e+07,0.0594412
2,16384,0.03384,0.91048,6.81891e+07,0.117822
2,32768,0.02881,0.851348,7.4813e+07,0.200637
2,65536,0.02713,0.854516,8.80494e+07,0.380536
2,131072,0.0259,0.888191,1.29736e+08,0.675774
2,262144,0.02584,0.959857,1.94199e+08,1.19867
2,524288,0.02582,1.08081,2.9076e+08,2.15624
2,1048576,0.02582,1.2163,4.26648e+08,4.34893
4,2048,0.09622,1.9244,1.40135e+08,0
4,4096,0.05992,1.40532,1.39597e+08,0.0382728
4,8192,0.04247,1.06597,9.14879e+07,0.0624329
4,16384,0.02832,0.809685,7.35367e+07,0.0877577
4,32768,0.0264,0.809552,9.3683e+07,0.183217
4,65536,0.02595,0.84024,1.24401e+08,0.342358
4,131072,0.02582,0.895204,1.57657e+08,0.600597
4,262144,0.02582,0.964341,2.37422e+08,1.17408
4,524288,0.02582,1.08687,3.61003e+08,2.42825
4,1048576,0.02582,1.21037,6.13695e+08,4.64665
8,2048,0.09069,1.8138,1.25669e+08,0
8,4096,0.05365,1.073,4.51787e+07,0
8,8192,0.03954,1.03335,1.95085e+08,0.102334
8,16384,0.02774,0.806577,1.36694e+08,0.120761
8,32768,0.02625,0.813352,1.57318e+08,0.246995
8,65536,0.02589,0.851617,1.91769e+08,0.347501
8,131072,0.02582,0.914875,2.61501e+08,0.69265
8,262144,0.02582,0.969754,3.44567e+08,1.16178
8,524288,0.02582,1.09304,5.42969e+08,2.63958
8,1048576,0.02582,1.21866,8.92605e+08,4.964
FULL WAY,2048,0.0886,1.94802,2.92672e+08,0.00770951
FULL WAY,4096,0.04954,1.17314,2.14363e+08,0.0166589
FULL WAY,8192,0.03912,0.975621,3.38937e+08,0.0315732
FULL WAY,16384,0.02634,0.731532,4.29772e+08,0.0634162
FULL WAY,32768,0.02624,0.772514,7.51105e+08,0.101857
FULL WAY,65536,0.02583,0.78651,1.5357e+09,0.18906
FULL WAY,131072,0.02582,0.821223,3.11221e+09,0.493926
FULL WAY,262144,0.02582,0.909428,6.1026e+09,0.766832
FULL WAY,524288,0.02582,0.985708,1.31838e+10,1.56357
FULL WAY,1048576,0.02582,1.10101,2.88145e+10,3.06006
