L1_BLOCKSIZE,L1_ASSOC,L1_SIZE,l1_miss_rate,l1_avg_access_time,edp,area

16,4,1024,0.14731,2.9462,3.38842e+08,0
32,4,1024,0.1427,2.854,2.99085e+08,0
64,4,1024,0.15839,3.1678,3.51642e+08,0
128,4,1024,0.20363,4.0726,5.63118e+08,0
16,4,2048,0.10621,2.32288,3.19278e+08,0.0256924
32,4,2048,0.09622,1.9244,1.40135e+08,0
64,4,2048,0.10326,2.0652,1.53331e+08,0
128,4,2048,0.13337,2.6674,2.46001e+08,0
16,4,4096,0.07554,1.7215,2.04375e+08,0.0382728
32,4,4096,0.05992,1.40532,1.39597e+08,0.0382728
64,4,4096,0.06189,1.2378,5.69388e+07,0
128,4,4096,0.08303,1.6606,9.64476e+07,0
16,4,8192,0.05945,1.42042,1.60459e+08,0.0629903
32,4,8192,0.04247,1.06597,9.14879e+07,0.0624329
64,4,8192,0.03859,0.984668,7.67198e+07,0.0624329
128,4,8192,0.04835,0.967,3.3492e+07,0
16,4,16384,0.04823,1.22641,1.56805e+08,0.0899269
32,4,16384,0.02832,0.809685,7.35367e+07,0.0877577
64,4,16384,0.02045,0.632144,4.84474e+07,0.10322
128,4,16384,0.01982,0.615842,4.44541e+07,0.10322
16,4,32768,0.04754,1.25551,1.9338e+08,0.214856
32,4,32768,0.0264,0.809552,9.3683e+07,0.183217
64,4,32768,0.01558,0.576178,5.04185e+07,0.178917
128,4,32768,0.01107,0.476001,3.73962e+07,0.21044
