L1_BLOCKSIZE,L1_ASSOC,L1_SIZE,L2_SIZE,L2_ASSOC,l1_miss_rate,l1_avg_access_time,edp,area

32,4,1024,32768,8,0.1427,0.566148,3.35782e+07,0.246995
32,4,2048,32768,8,0.09622,0.552745,2.67858e+07,0.246995
32,4,4096,32768,8,0.05992,0.749195,6.90469e+07,0.285268
32,4,8192,32768,8,0.04247,0.753817,6.58188e+07,0.309428
32,4,16384,32768,8,0.02832,0.776251,7.71356e+07,0.334752
32,4,1024,65536,8,0.1427,0.565436,3.54973e+07,0.347501
32,4,2048,65536,8,0.09622,0.54992,2.72947e+07,0.347501
32,4,4096,65536,8,0.05992,0.745319,6.81739e+07,0.385774
32,4,8192,65536,8,0.04247,0.749348,6.4173e+07,0.409934
32,4,16384,65536,8,0.02832,0.771939,7.47782e+07,0.435259
32,4,32768,65536,8,0.0264,0.809965,1.00382e+08,0.530718
32,4,1024,131072,8,0.1427,0.573262,4.33139e+07,0.69265
32,4,2048,131072,8,0.09622,0.554741,3.24768e+07,0.69265
32,4,4096,131072,8,0.05992,0.747194,7.26438e+07,0.730923
32,4,8192,131072,8,0.04247,0.749894,6.73694e+07,0.755083
32,4,16384,131072,8,0.02832,0.77097,7.69506e+07,0.780407
32,4,32768,131072,8,0.0264,0.808472,1.02217e+08,0.875867
32,4,65536,131072,8,0.02595,0.84798,1.36355e+08,1.03501
32,4,1024,262144,8,0.1427,0.581094,5.31621e+07,1.16178
32,4,2048,262144,8,0.09622,0.560022,3.92804e+07,1.16178
32,4,4096,262144,8,0.05992,0.750482,7.90286e+07,1.20005
32,4,8192,262144,8,0.04247,0.752225,7.23237e+07,1.22421
32,4,16384,262144,8,0.02832,0.772524,8.08682e+07,1.24954
32,4,32768,262144,8,0.0264,0.809921,1.05944e+08,1.345
32,4,65536,262144,8,0.02595,0.849405,1.398e+08,1.50414
32,4,1024,524288,8,0.1427,0.598687,7.42036e+07,2.63958
32,4,2048,524288,8,0.09622,0.571885,5.3632e+07,2.63958
32,4,4096,524288,8,0.05992,0.757869,9.22861e+07,2.67785
32,4,8192,524288,8,0.04247,0.757461,8.25658e+07,2.70201
32,4,16384,524288,8,0.02832,0.776016,8.89331e+07,2.72734
32,4,32768,524288,8,0.0264,0.813175,1.1361e+08,2.8228
32,4,65536,524288,8,0.02595,0.852604,1.46895e+08,2.98194
32,4,1024,1048576,8,0.1427,0.616613,1.09777e+08,4.964
32,4,2048,1048576,8,0.09622,0.583972,7.77712e+07,4.964
32,4,4096,1048576,8,0.05992,0.765397,1.14206e+08,5.00227
32,4,8192,1048576,8,0.04247,0.762796,9.94906e+07,5.02643
32,4,16384,1048576,8,0.02832,0.779573,1.0223e+08,5.05176
32,4,32768,1048576,8,0.0264,0.816492,1.26189e+08,5.14722
32,4,65536,1048576,8,0.02595,0.855864,1.58445e+08,5.30636
