L1_BLOCKSIZE,L1_ASSOC,L1_SIZE,VC_BLOCKS,L2_SIZE,L2_ASSOC,l1_miss_rate,l1_avg_access_time,edp,area
32,1,1024,0,262144,8,0.19346,0.734444,9.24002e+07,1.17104
32,1,2048,0,262144,8,0.14774,0.728586,7.77272e+07,1.17604
32,1,4096,0,262144,8,0.10017,0.725428,6.33742e+07,1.19695
32,1,8192,0,262144,8,0.067,0.730327,5.81099e+07,1.21689
32,1,16384,0,262144,8,0.04609,0.747939,5.77009e+07,1.26744
32,1,32768,0,262144,8,0.03768,0.778914,6.69575e+07,1.37445
32,2,1024,0,262144,8,0.15603,0.587137,5.69408e+07,1.16178
32,2,2048,0,262144,8,0.10714,0.746946,7.3226e+07,1.18205
32,2,4096,0,262144,8,0.07528,0.740116,6.19529e+07,1.18845
32,2,8192,0,262144,8,0.04734,0.750413,5.88639e+07,1.22122
32,2,16384,0,262144,8,0.03384,0.765422,6.69982e+07,1.2796
32,2,32768,0,262144,8,0.02881,0.804609,8.2404e+07,1.36242
32,4,1024,0,262144,8,0.1427,0.581094,5.31621e+07,1.16178
32,4,2048,0,262144,8,0.09622,0.560022,3.92804e+07,1.16178
32,4,4096,0,262144,8,0.05992,0.750482,7.90286e+07,1.20005
32,4,8192,0,262144,8,0.04247,0.752225,7.23237e+07,1.22421
32,4,16384,0,262144,8,0.02832,0.772524,8.08682e+07,1.24954
32,4,32768,0,262144,8,0.0264,0.809921,1.05944e+08,1.345
